title,year_x,rotten tomatoes,netflix,hulu,prime video,disney+,movieId,genres,userId,rating
Ghost,2020,45/100,0,0,1,0,587.0,Comedy|Drama|Fantasy|Romance|Thriller,39481.0,4.0
Willow,1988,75/100,0,0,0,1,2193.0,Action|Adventure|Fantasy,110239.0,3.0
Ghost,2020,45/100,0,0,1,0,587.0,Comedy|Drama|Fantasy|Romance|Thriller,86400.0,4.5
Finding Nemo,2003,87/100,0,0,0,1,6377.0,Adventure|Animation|Children|Comedy,25669.0,4.5
Philadelphia,1993,79/100,0,0,1,0,508.0,Drama,55955.0,4.0
Monty Python and the Holy Grail,1975,84/100,1,0,0,0,1136.0,Adventure|Comedy|Fantasy,48792.0,3.0
Michael,2011,52/100,1,0,0,0,1409.0,Comedy|Drama|Fantasy|Romance,56393.0,1.5
Ghost,2020,45/100,0,0,1,0,587.0,Comedy|Drama|Fantasy|Romance|Thriller,111771.0,4.0
Rear Window,1954,85/100,0,0,1,0,904.0,Mystery|Thriller,82292.0,4.0
Open Season,2006,69/100,0,0,1,0,48414.0,Adventure|Animation|Children|Comedy|IMAX,114601.0,1.0
Star Trek: First Contact,1996,77/100,0,1,0,0,1356.0,Action|Adventure|Sci-Fi|Thriller,6326.0,3.0
Mighty Joe Young,1998,62/100,0,0,0,1,2430.0,Adventure|Children|Drama,68442.0,3.0
Mary Poppins,1964,96/100,0,0,0,1,1028.0,Children|Comedy|Fantasy|Musical,75986.0,4.0
Billy Madison,1995,73/100,0,1,0,0,216.0,Comedy,53790.0,4.0
Dances with Wolves,1990,80/100,1,0,0,0,590.0,Adventure|Drama|Western,82815.0,4.0
Cinderella,1965,59/100,0,0,1,1,1022.0,Animation|Children|Fantasy|Musical|Romance,19613.0,3.0
Stargate,1994,78/100,1,0,0,0,316.0,Action|Adventure|Sci-Fi,4371.0,2.0
Hero,1997,48/100,1,0,1,0,2252.0,Comedy|Drama,47414.0,3.5
Coyote Ugly,2000,70/100,0,1,0,0,3825.0,Comedy|Drama|Romance,107056.0,3.5
Resident Evil,2002,77/100,0,0,1,0,5219.0,Action|Horror|Sci-Fi|Thriller,53037.0,4.0
What's Eating Gilbert Grape,1993,78/100,1,0,0,0,337.0,Drama,133271.0,3.0
Chicken Run,2000,76/100,0,0,1,0,3751.0,Animation|Children|Comedy,89200.0,3.5
Taxi Driver,2015,41/100,1,0,0,0,111.0,Crime|Drama|Thriller,1709.0,4.0
Monty Python and the Holy Grail,1975,84/100,1,0,0,0,1136.0,Adventure|Comedy|Fantasy,19781.0,4.0
Footloose,1984,72/100,0,1,0,0,3791.0,Drama,30995.0,2.5
WALL·E,2008,88/100,0,0,0,1,60069.0,Adventure|Animation|Children|Romance|Sci-Fi,12992.0,4.0
Universal Soldier,1992,68/100,0,1,0,0,2808.0,Action|Sci-Fi,24751.0,4.0
Dreamcatcher,2021,47/100,0,1,0,0,6250.0,Drama|Horror|Sci-Fi|Thriller,125308.0,0.5
Predator,1987,83/100,0,1,0,0,3527.0,Action|Sci-Fi|Thriller,109040.0,2.5
Weekend at Bernie's,1989,71/100,0,1,0,0,1091.0,Comedy,132378.0,1.5
Thor: The Dark World,2013,81/100,0,0,0,1,106072.0,Action|Adventure|Fantasy|IMAX,53830.0,2.0
Slumdog Millionaire,2008,85/100,0,1,0,0,63082.0,Crime|Drama|Romance,110382.0,3.5
Snatch,2000,87/100,0,0,1,0,4011.0,Comedy|Crime|Thriller,54477.0,4.5
The Count of Monte Cristo,1996,39/100,0,0,1,0,5064.0,Action|Adventure|Drama|Romance|Thriller,94106.0,2.0
Pinocchio,2019,72/100,0,0,1,1,596.0,Animation|Children|Fantasy|Musical,39424.0,5.0
Congo,1995,65/100,1,0,0,0,160.0,Action|Adventure|Mystery|Sci-Fi,128151.0,3.5
Killing Them Softly,2012,73/100,1,0,0,0,97860.0,Crime|Drama|Thriller,126623.0,3.5
Congo,1995,65/100,1,0,0,0,160.0,Action|Adventure|Mystery|Sci-Fi,66630.0,4.0
Fight Club,1999,93/100,0,0,1,0,2959.0,Action|Crime|Drama|Thriller,103910.0,5.0
Casino Royale,2006,85/100,1,0,0,0,49272.0,Action|Adventure|Thriller,5677.0,3.5
There Will Be Blood,2007,84/100,1,0,0,0,56782.0,Drama|Western,13296.0,4.5
Big Fish,2003,84/100,0,1,1,0,7147.0,Drama|Fantasy|Romance,116489.0,2.0
Lords of Dogtown,2005,71/100,0,0,1,0,33672.0,Action|Comedy|Drama,19858.0,4.0
X-Men Origins: Wolverine,2009,78/100,0,0,0,1,68319.0,Action|Sci-Fi|Thriller,3797.0,3.0
Pirates of the Caribbean: The Curse of the Black Pearl,2003,86/100,0,0,0,1,6539.0,Action|Adventure|Comedy|Fantasy,8258.0,4.0
Star Wars: Episode II - Attack of the Clones,2002,78/100,0,0,0,1,5378.0,Action|Adventure|Sci-Fi|IMAX,39926.0,4.0
Finding Nemo,2003,87/100,0,0,0,1,6377.0,Adventure|Animation|Children|Comedy,110403.0,4.5
Pirates of the Caribbean: The Curse of the Black Pearl,2003,86/100,0,0,0,1,6539.0,Action|Adventure|Comedy|Fantasy,75239.0,3.0
Swordfish,2001,73/100,1,0,0,0,4344.0,Action|Crime|Drama,25474.0,3.5
Star Wars: Episode II - Attack of the Clones,2002,78/100,0,0,0,1,5378.0,Action|Adventure|Sci-Fi|IMAX,124952.0,4.0
Fantastic Mr. Fox,2009,81/100,0,0,0,1,72226.0,Adventure|Animation|Children|Comedy|Crime,136563.0,3.5
Weekend at Bernie's,1989,71/100,0,1,0,0,1091.0,Comedy,78602.0,2.0
Iron Man 2,2010,82/100,0,0,0,1,77561.0,Action|Adventure|Sci-Fi|Thriller|IMAX,38711.0,3.0
Ratatouille,2007,85/100,0,0,0,1,50872.0,Animation|Children|Drama,85809.0,5.0
Willow,1988,75/100,0,0,0,1,2193.0,Action|Adventure|Fantasy,32831.0,3.0
