Embarked_Q,Embarked_S,Sex_male,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6,SibSp_1,SibSp_2,SibSp_3,SibSp_4,SibSp_5,SibSp_8,Pclass_2,Pclass_3,"Age_(21.0, 30.0]","Age_(30.0, 35.0]","Age_(35.0, 80.0]",Survived
False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,0
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1
False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,0
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,1
True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0
False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,1
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0
False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,0
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,0
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0
False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,1
False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,1
False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1
False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0
False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1
False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1
False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,1
False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,0
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,0
False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,1
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0
